Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","605.557362","Fc","Donnée calculée",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","563.983834","Fc","Donnée calculée",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","6153.459018","Fc","Donnée calculée",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","6412.962691","Fc","Donnée calculée",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","4445.132198","Fc","Donnée calculée",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","5131.908959","Fc","Donnée calculée",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","4051.244377","Fc","Donnée calculée",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4136.289853","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","44642.742052","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","47993.473332","Fc","Donnée calculée",""
"MK","Indicateurs macro","6","Andorre","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","39249.689016","Fc","Donnée calculée",""
"MK","Indicateurs macro","6","Andorre","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","42080.55769","Fc","Donnée calculée",""
"MK","Indicateurs macro","7","Angola","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","4100.291004","Fc","Donnée calculée",""
"MK","Indicateurs macro","7","Angola","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","3441.269755","Fc","Donnée calculée",""
"MK","Indicateurs macro","258","Anguilla","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","18860.628455","Fc","Donnée calculée",""
