Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","202","Afrique du Sud","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","6090","","Donnée officielle"
"TA","Animaux vivants","202","Afrique du Sud","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","6235","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","328450","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","312679","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","2","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1962","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","3626","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","9","Argentine","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","440","","Donnée officielle"
"TA","Animaux vivants","10","Australie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1215","","Donnée officielle"
"TA","Animaux vivants","10","Australie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1036","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","14968","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","14384","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","41","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","52","Azerbaïdjan","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","12","","Donnée officielle"
"TA","Animaux vivants","13","Bahreïn","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","3","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","14","Barbade","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","41","","Donnée officielle"
"TA","Animaux vivants","14","Barbade","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","55","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","519","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1098","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","132204","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","145393","","Donnée officielle"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","5654","","Donnée officielle"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","6523","","Donnée officielle"
"TA","Animaux vivants","20","Botswana","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","89","","Donnée officielle"
"TA","Animaux vivants","21","Brésil","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","17850","","Donnée officielle"
"TA","Animaux vivants","21","Brésil","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","22906","","Donnée officielle"
"TA","Animaux vivants","27","Bulgarie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","30825","","Donnée officielle"
"TA","Animaux vivants","27","Bulgarie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","29914","","Donnée officielle"
"TA","Animaux vivants","233","Burkina Faso","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","450","F","Estimation FAO"
"TA","Animaux vivants","233","Burkina Faso","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","250","F","Estimation FAO"
"TA","Animaux vivants","33","Canada","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","7200","","Donnée officielle"
"TA","Animaux vivants","33","Canada","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","5920","","Donnée officielle"
"TA","Animaux vivants","41","Chine, continentale","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","426","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","41","Chine, continentale","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","2404","","Donnée officielle"
"TA","Animaux vivants","214","Chine, Taiwan Province de","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","0","","Donnée officielle"
"TA","Animaux vivants","44","Colombie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","370","","Donnée officielle"
"TA","Animaux vivants","44","Colombie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","542","","Donnée officielle"
"TA","Animaux vivants","48","Costa Rica","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","7864","","Donnée officielle"
"TA","Animaux vivants","48","Costa Rica","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","7083","","Donnée officielle"
"TA","Animaux vivants","107","Côte d'Ivoire","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","3","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","9706","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","10087","","Donnée officielle"
"TA","Animaux vivants","54","Danemark","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","63325","","Donnée officielle"
"TA","Animaux vivants","54","Danemark","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","58934","","Donnée officielle"
"TA","Animaux vivants","59","Égypte","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","2","*","Chiffre non officiel"
"TA","Animaux vivants","59","Égypte","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","11","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","60","El Salvador","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","9428","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","10638","","Donnée officielle"
"TA","Animaux vivants","225","Émirats arabes unis","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","300","F","Estimation FAO"
"TA","Animaux vivants","225","Émirats arabes unis","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","691","","Donnée officielle"
"TA","Animaux vivants","178","Érythrée","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","33","*","Chiffre non officiel"
"TA","Animaux vivants","203","Espagne","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","29202","","Donnée officielle"
"TA","Animaux vivants","203","Espagne","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","24711","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","58","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","70","","Donnée officielle"
