Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","202","Afrique du Sud","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","7992","","Donnée officielle"
"TA","Animaux vivants","202","Afrique du Sud","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","9671","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","654322","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","680352","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","6","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","2","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","12897","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","7157","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1445","","Donnée officielle"
"TA","Animaux vivants","10","Australie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","8262","","Donnée officielle"
"TA","Animaux vivants","10","Australie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","5198","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","13086","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","15975","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","59","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","52","Azerbaïdjan","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","46","","Donnée officielle"
"TA","Animaux vivants","13","Bahreïn","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","21","","Donnée officielle"
"TA","Animaux vivants","14","Barbade","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","595","","Donnée officielle"
"TA","Animaux vivants","14","Barbade","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","807","","Donnée officielle"
