Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","2","Afghanistan","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","8204","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","2","Afghanistan","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","9327","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","202","Afrique du Sud","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","7394","","Donnée officielle"
"TA","Animaux vivants","202","Afrique du Sud","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","8671","","Donnée officielle"
"TA","Animaux vivants","3","Albanie","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","3266","","Donnée officielle"
"TA","Animaux vivants","3","Albanie","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","3829","","Donnée officielle"
"TA","Animaux vivants","4","Algérie","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","19051","","Donnée officielle"
"TA","Animaux vivants","4","Algérie","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","26716","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","79","Allemagne","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","193759","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","185487","","Donnée officielle"
"TA","Animaux vivants","7","Angola","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","1814","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","7","Angola","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","2241","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","35","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","84","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","17495","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","19146","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","14940","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","13863","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","4169","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","4101","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","32714","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","36944","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","5083","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","52","Azerbaïdjan","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","4996","","Donnée officielle"
"TA","Animaux vivants","12","Bahamas","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","254","*","Chiffre non officiel"
"TA","Animaux vivants","12","Bahamas","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","304","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","13","Bahreïn","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","282","","Donnée officielle"
"TA","Animaux vivants","13","Bahreïn","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","391","","Donnée officielle"
"TA","Animaux vivants","16","Bangladesh","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","22281","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","16","Bangladesh","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","23711","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","57","Bélarus","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","9034","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","11588","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","207538","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","213538","","Donnée officielle"
"TA","Animaux vivants","23","Belize","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","665","*","Chiffre non officiel"
"TA","Animaux vivants","23","Belize","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","610","","Donnée officielle"
"TA","Animaux vivants","53","Bénin","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","233","","Donnée officielle"
"TA","Animaux vivants","53","Bénin","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","284","","Donnée officielle"
"TA","Animaux vivants","18","Bhoutan","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","370","","Donnée officielle"
"TA","Animaux vivants","18","Bhoutan","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","74","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","19","Bolivie (État plurinational de)","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","4727","","Donnée officielle"
"TA","Animaux vivants","19","Bolivie (État plurinational de)","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","8841","","Donnée officielle"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","2605","","Donnée officielle"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","2687","","Donnée officielle"
"TA","Animaux vivants","20","Botswana","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","3374","","Donnée officielle"
"TA","Animaux vivants","20","Botswana","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","3162","","Donnée officielle"
"TA","Animaux vivants","21","Brésil","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","1425","","Donnée officielle"
"TA","Animaux vivants","21","Brésil","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","3760","","Donnée officielle"
"TA","Animaux vivants","26","Brunéi Darussalam","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","1058","","Donnée officielle"
"TA","Animaux vivants","26","Brunéi Darussalam","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","1679","","Donnée officielle"
"TA","Animaux vivants","27","Bulgarie","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","4577","","Donnée officielle"
"TA","Animaux vivants","27","Bulgarie","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","5817","","Donnée officielle"
"TA","Animaux vivants","233","Burkina Faso","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","233","","Donnée officielle"
"TA","Animaux vivants","233","Burkina Faso","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","384","","Donnée officielle"
"TA","Animaux vivants","29","Burundi","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","40","","Donnée officielle"
"TA","Animaux vivants","29","Burundi","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","112","","Donnée officielle"
"TA","Animaux vivants","35","Cabo Verde","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","169","","Donnée officielle"
"TA","Animaux vivants","35","Cabo Verde","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","199","","Donnée officielle"
"TA","Animaux vivants","115","Cambodge","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","1931","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","115","Cambodge","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","4349","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","32","Cameroun","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","120","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","32","Cameroun","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","2543","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","33","Canada","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","52627","","Donnée officielle"
"TA","Animaux vivants","33","Canada","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","57158","","Donnée officielle"
"TA","Animaux vivants","40","Chili","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","5480","","Donnée officielle"
"TA","Animaux vivants","40","Chili","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","5431","","Donnée officielle"
"TA","Animaux vivants","96","Chine - RAS de Hong-Kong","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","606","","Donnée officielle"
"TA","Animaux vivants","96","Chine - RAS de Hong-Kong","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","785","","Donnée officielle"
"TA","Animaux vivants","128","Chine - RAS de Macao","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","16360","F","Estimation FAO"
"TA","Animaux vivants","128","Chine - RAS de Macao","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","18200","F","Estimation FAO"
"TA","Animaux vivants","41","Chine, continentale","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","18653","","Donnée officielle"
"TA","Animaux vivants","41","Chine, continentale","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","28613","","Donnée officielle"
"TA","Animaux vivants","214","Chine, Taiwan Province de","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","3672","","Donnée officielle"
"TA","Animaux vivants","214","Chine, Taiwan Province de","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","4278","","Donnée officielle"
"TA","Animaux vivants","50","Chypre","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","311","","Donnée officielle"
"TA","Animaux vivants","50","Chypre","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","461","","Donnée officielle"
"TA","Animaux vivants","44","Colombie","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","12113","","Donnée officielle"
"TA","Animaux vivants","44","Colombie","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","13856","","Donnée officielle"
"TA","Animaux vivants","45","Comores","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","63","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","45","Comores","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","110","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","46","Congo","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","125","","Donnée officielle"
"TA","Animaux vivants","46","Congo","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","112","","Donnée officielle"
"TA","Animaux vivants","48","Costa Rica","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","6480","","Donnée officielle"
"TA","Animaux vivants","48","Costa Rica","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","6680","","Donnée officielle"
"TA","Animaux vivants","107","Côte d'Ivoire","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","3825","","Donnée officielle"
"TA","Animaux vivants","107","Côte d'Ivoire","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","3873","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","5999","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","6045","","Donnée officielle"
"TA","Animaux vivants","54","Danemark","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","9861","","Donnée officielle"
"TA","Animaux vivants","54","Danemark","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","9978","","Donnée officielle"
"TA","Animaux vivants","55","Dominique","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","161","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","55","Dominique","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","177","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","59","Égypte","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","2000","F","Estimation FAO"
"TA","Animaux vivants","59","Égypte","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","19737","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","6402","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","6208","","Donnée officielle"
"TA","Animaux vivants","225","Émirats arabes unis","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","2297","*","Chiffre non officiel"
"TA","Animaux vivants","225","Émirats arabes unis","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","2141","","Donnée officielle"
"TA","Animaux vivants","58","Équateur","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","16405","","Donnée officielle"
"TA","Animaux vivants","58","Équateur","5622","Importations - Valeur","1057","Poulets","2018","2018","1000 US$","19366","","Donnée officielle"
"TA","Animaux vivants","178","Érythrée","5622","Importations - Valeur","1057","Poulets","2017","2017","1000 US$","287","R","Données estimées en utilisant les données des pays partenaires"
